"","K","Lambda","Crossvalidation"
"1",1,0,0.805490497920244
"2",2,0,0.741947711044511
"3",3,0,0.962233845445146
"4",4,0,0.745508704976363
"5",5,0,0.815904903120373
"6",6,0,0.729257880729231
"7",7,0,0.852479841703165
"8",8,0,0.573836176039012
"9",9,0,0.609566242033327
"10",10,0,0.412328934538973
"11",1,0.25,0.748649618706985
"12",2,0.25,0.665546953189039
"13",3,0.25,0.594369410790884
"14",4,0.25,0.893569900096858
"15",5,0.25,0.654336198629959
"16",6,0.25,0.759249070955837
"17",7,0.25,0.898287551228166
"18",8,0.25,0.573663709567725
"19",9,0.25,0.456478007778752
"20",10,0.25,0.37896033223534
"21",1,0.5,0.657428358845498
"22",2,0.5,0.841208306437485
"23",3,0.5,0.925008149380776
"24",4,0.5,0.746686808626365
"25",5,0.5,0.977635285639574
"26",6,0.5,0.661606224515349
"27",7,0.5,0.789116359222547
"28",8,0.5,0.437869385544472
"29",9,0.5,0.730402002338243
"30",10,0.5,0.501551720884711
"31",1,0.75,0.698815496315722
"32",2,0.75,0.72739850348695
"33",3,0.75,0.964818323010659
"34",4,0.75,0.952742584857916
"35",5,0.75,0.591782243045831
"36",6,0.75,0.732831692904459
"37",7,0.75,0.642245787501405
"38",8,0.75,0.477281299615191
"39",9,0.75,1.017035268419
"40",10,0.75,0.452252514531318
"41",1,1,0.642685528243856
"42",2,1,0.805381840466863
"43",3,1,0.913151611045439
"44",4,1,0.83069914163886
"45",5,1,0.640126993151475
"46",6,1,0.638778013076767
"47",7,1,0.855599085484902
"48",8,1,0.752112290531949
"49",9,1,0.443065466271527
"50",10,1,0.48605777585315
"51",1,1.25,0.680585245806895
"52",2,1.25,0.818662949511362
"53",3,1.25,1.03465014817687
"54",4,1.25,0.82752667002591
"55",5,1.25,0.94768475350315
"56",6,1.25,0.803345037337204
"57",7,1.25,0.900239769393431
"58",8,1.25,0.595838843047208
"59",9,1.25,0.484150888741646
"60",10,1.25,0.708593456602111
"61",1,1.5,0.773192111199516
"62",2,1.5,0.763568727795954
"63",3,1.5,0.793451380775384
"64",4,1.5,0.960014990793485
"65",5,1.5,0.696085384891063
"66",6,1.5,0.668696523067704
"67",7,1.5,0.5934688618471
"68",8,1.5,0.803095486424718
"69",9,1.5,0.363531394076052
"70",10,1.5,0.457694300160697
