"","sampleName","latitude","longitude","Pond"
"1","MAD2017_330",41.344701,-72.614925,"Concord"
"2","MAD2017_378",41.326933,-72.633661,"Colonial"
"3","YMF2018_040",41.971298,-72.131144,"WM"
"4","YMF2018_041",41.955599,-72.154084,"BP2"
"5","YMF2018_042",41.955599,-72.154084,"BP2"
"6","YMF2018_044",41.941492,-72.136595,"FE"
"7","YMF2018_045",41.941492,-72.136595,"FE"
"8","YMF2018_046",41.941492,-72.136595,"FE"
"9","YMF2018_047",41.941492,-72.136595,"FE"
"10","YMF2018_048",41.941492,-72.136595,"FE"
"11","YMF2018_049",41.917944,-72.149634,"BO"
"12","YMF2018_050",41.917944,-72.149634,"BO"
"13","YMF2018_051",41.917944,-72.149634,"BO"
"14","YMF2018_052",41.917944,-72.149634,"BO"
"15","YMF2018_053",41.965199,-72.152293,"AW"
"16","YMF2018_054",41.965199,-72.152293,"AW"
"17","YMF2018_055",41.965199,-72.152293,"AW"
"18","YMF2018_057",41.965199,-72.152293,"AW"
"19","YMF2018_059",41.965199,-72.152293,"AW"
"20","YMF2018_060",41.965199,-72.152293,"AW"
"21","YMF2018_061",41.965199,-72.152293,"AW"
"22","YMF2018_062",41.965199,-72.152293,"AW"
"23","YMF2018_062",41.965199,-72.152293,"AW"
"24","YMF2018_063",41.965199,-72.152293,"AW"
"25","YMF2018_064",41.965199,-72.152293,"AW"
"26","YMF2018_065",41.953734,-72.139255,"X7"
"27","YMF2018_066",41.953734,-72.139255,"X7"
"28","YMF2018_067",41.953734,-72.139255,"X7"
"29","YMF2018_069",41.953734,-72.139255,"X7"
"30","YMF2018_070",41.953734,-72.139255,"X7"
"31","YMF2018_071",41.953734,-72.139255,"X7"
"32","YMF2018_072",41.953734,-72.139255,"X7"
"33","YMF2018_073",41.953734,-72.139255,"X7"
"34","YMF2018_074",41.953734,-72.139255,"X7"
"35","YMF2018_076",41.953734,-72.139255,"X7"
"36","YMF2018_079",41.95461,-72.141521,"X9"
"37","YMF2018_082",41.95461,-72.141521,"X9"
"38","YMF2018_083",41.95461,-72.141521,"X9"
"39","YMF2018_084",41.95461,-72.141521,"X9"
"40","YMF2018_085",41.952368,-72.138315,"W1"
"41","YMF2018_086",41.952368,-72.138315,"W1"
"42","YMF2018_088",41.952368,-72.138315,"W1"
"43","YMF2018_089",41.963292,-72.149856,"E8"
"44","YMF2018_092",41.963292,-72.149856,"E8"
"45","YMF2018_093",41.963292,-72.149856,"E8"
"46","YMF2018_094",41.963292,-72.149856,"E8"
"47","YMF2018_096",41.942438,-72.129448,"WP"
"48","YMF2018_098",41.942438,-72.129448,"WP"
"49","YMF2018_100",41.942438,-72.129448,"WP"
"50","YMF2018_101",41.942438,-72.129448,"WP"
"51","YMF2018_102",41.971298,-72.131144,"WM"
"52","YMF2018_103",41.971298,-72.131144,"WM"
"53","YMF2018_104",41.971298,-72.131144,"WM"
"54","YMF2018_105",41.971298,-72.131144,"WM"
"55","YMF2018_106",41.971298,-72.131144,"WM"
"56","YMF2018_107",41.971298,-72.131144,"WM"
"57","YMF2018_108",41.966893,-72.154498,"SD"
"58","YMF2018_109",41.966893,-72.154498,"SD"
"59","YMF2018_110",41.966893,-72.154498,"SD"
"60","YMF2018_111",41.966893,-72.154498,"SD"
"61","YMF2018_112",41.966893,-72.154498,"SD"
"62","YMF2018_113",41.948315,-72.126783,"T5"
"63","YMF2018_114",41.948315,-72.126783,"T5"
"64","YMF2018_115",41.948315,-72.126783,"T5"
"65","YMF2018_116",41.948315,-72.126783,"T5"
"66","YMF2018_117",41.948315,-72.126783,"T5"
"67","YMF2018_118",41.948315,-72.126783,"T5"
"68","YMF2018_119",41.948315,-72.126783,"T5"
