Pond,Lat,Long
3way_sed,41.94442,-72.13821
A10,41.959226,-72.146056
AA006,41.964253,-72.120999
Atwood,41.965199,-72.152293
Boulder,41.917944,-72.149634
Blacksmt,41.954935,-72.123602
Burrpit1,41.955933,-72.154117
Burrpit2,41.955599,-72.154084
Burrpit3,41.9554,-72.154057
C3,41.960203,-72.145505
C6,41.96042,-72.132947
C7,41.960131,-72.133636
Centpike,41.949156,-72.119785
Clr_cut,41.958527,-72.132888
D1,41.961541,-72.130605
D6,41.963153,-72.136734
Dead_turk,41.963303,-72.151352
Dentist,41.945437,-72.128372
E1,41.963239,-72.130806
E8,41.963292,-72.149856
F1,41.966305,-72.13745
F4,41.962341,-72.129833
Fence,41.941492,-72.136595
Fhe,41.947416,-72.118982
G1,41.965097,-72.135211
Greenbr,41.917996,-72.14886
Kealoha,41.927612,-72.157826
Laurel,41.957757,-72.131981
Long,41.966787,-72.150593
Lrl_path,41.983245,-72.112382
Lthing,41.94403,-72.12887
Mill,41.935897,-72.14694
Morsebog,41.953277,-72.122494
Phrag,41.949903,-72.135168
Pr_beav,41.962336,-72.125694
Pwillow,41.94195,-72.13813
Quarry,41.94367,-72.12873
S3,41.959421,-72.13368
S4,41.959408,-72.136033
Saddle,41.966893,-72.154498
Shrub,41.94175,-72.13758
T1,41.949454,-72.13917
T2,41.948935,-72.138602
T5,41.948315,-72.126783
V2,41.950935,-72.134302
W1,41.952368,-72.138315
W4,41.952333,-72.128629
Walker_mt,41.971298,-72.131144
Westford,41.919789,-72.160476
Woodpile,41.942438,-72.129448
X2,41.953737,-72.128614
X7,41.953734,-72.139255
X8,41.954114,-72.140771
X9,41.95461,-72.141521
Y3,41.955507,-72.133095
Y6,41.955873,-72.134068
YM30,41.958172,-72.154693
YM54,41.955836,-72.157464
Z3,41.956752,-72.13678
Z5,41.956904,-72.140694
Nathaniel,41.936504,-72.14687962
